id,name,description
ASSETCATALOG_COMPILER_LEADERBOARD_IDENTIFIER_PREFIX,Leaderboard Identifier Prefix,"Leaderboards in the asset catalog may optionally specify a Game Center identifier. If they do not, their name will be prefixed by this value to form an automatically generated identifier."
ASSETCATALOG_COMPILER_LEADERBOARD_SET_IDENTIFIER_PREFIX,Leaderboard Set Identifier Prefix,"Leaderboard sets in the asset catalog may optionally specify a Game Center identifier. If they do not, their name will be prefixed by this value to form an automatically generated identifier."
ASSETCATALOG_COMPILER_FLATTENED_APP_ICON_PATH,,
SUPPORTS_MACCATALYST,Supports Mac Catalyst,Support building this target for Mac Catalyst.
DERIVE_MACCATALYST_PRODUCT_BUNDLE_IDENTIFIER,Derive Mac Catalyst Product Bundle Identifier,"When enabled, Xcode will automatically derive a bundle identifier for this target from its original bundle identifier when it's building for Mac Catalyst."
IS_MACCATALYST,Building for Mac Catalyst,Indicates whether the target is building for Mac Catalyst. This build setting is intended for use in shell scripts and build setting composition and should be considered read-only.
LD_THREAD_SANITIZER,,
CLANG_BITCODE_GENERATION_MODE,,
CLANG_THREAD_SANITIZER,,
ASSETCATALOG_COMPILER_COMPLICATION_NAME,Watch Complication Name,The name of a watch complication to use from the asset catalog.
LD_BITCODE_GENERATION_MODE,,
LD_VERIFY_BITCODE,,
LD_HIDE_BITCODE_SYMBOLS,,
LD_GENERATE_BITCODE_SYMBOL_MAP,,
COMBINE_HIDPI_IMAGES,,
PRODUCT_DEFINITION_PLIST,,Path to a file specifying additional requirements for a product archive.
BUNDLE_FORMAT,,
CLANG_TARGET_TRIPLE_ARCHS,,
CLANG_TARGET_TRIPLE_VARIANTS,,
CLANG_TOOLCHAIN_FLAGS,,
CLANG_MACRO_BACKTRACE_LIMIT,,
CLANG_RETAIN_COMMENTS_FROM_SYSTEM_HEADERS,,
CLANG_COLOR_DIAGNOSTICS,,
GCC_INPUT_FILETYPE,Compile Sources As,"Specifies whether to compile each source file according to its file type, or whether to treat all source files in the target as if they are of a specific language."
GCC_OPERATION,,
GCC_USE_STANDARD_INCLUDE_SEARCHING,Use Standard System Header Directory Searching,"Controls whether the standard system directories are searched for header files. When disabled, only the directories you have specified with `-I` options (and the directory of the current file, if appropriate) are searched."
GCC_C_LANGUAGE_STANDARD,C Language Dialect,"Choose a standard or non-standard C language dialect.

- _ANSI C:_ Accept ISO C90 and ISO C++, turning off GNU extensions that are incompatible. `-ansi` Incompatible GNU extensions include the `asm`, `inline`, and `typeof` keywords (but not the equivalent ` __asm__ `, ` __inline__ `, and ` __typeof__ ` forms), and the `//` syntax for comments. This setting also enables trigraphs.

- _C89:_ Accept ISO C90 (1990), but not GNU extensions. `-std=c89`

- _GNU89:_ Accept ISO C90 and GNU extensions. `-std=gnu89`

- _C99:_ Accept ISO C99 (1999), but not GNU extensions. `-std=c99`

- _GNU99:_ Accept ISO C99 and GNU extensions. `-std=gnu99`

- _C11:_ Accept ISO C11 (2011), but not GNU extensions. `-std=c11`

- _GNU11:_ Accept ISO C11 and GNU extensions. `-std=gnu11`

- _Compiler Default:_ Tells the compiler to use its default C language dialect. This is normally the best choice unless you have specific needs. (Currently equivalent to GNU99.)"
CLANG_CXX_LANGUAGE_STANDARD,C++ Language Dialect,"Choose a standard or non-standard C++ language dialect. Options include:

- _C++98:_ Accept ISO C++ 1998 with amendments, but not GNU extensions. `-std=c++98`

- _GNU++98:_ Accept ISO C++ 1998 with amendments and GNU extensions. `-std=gnu++98`

- _C++11:_ Accept the ISO C++ 2011 standard with amendments, but not GNU extensions. `-std=c++11`

- _GNU++11:_ Accept the ISO C++ 2011 standard with amendments and GNU extensions. `-std=gnu++11`

- _C++14:_ Accept the ISO C++ 2014 standard with amendments, but not GNU extensions. `-std=c++14`

- _GNU++14:_ Accept the ISO C++ 2014 standard with amendments and GNU extensions. `-std=gnu++14`

- _C++17:_ Accept the ISO C++ 2017 standard with amendments, but not GNU extensions. `-std=c++17`

- _GNU++17:_ Accept the ISO C++ 2017 standard with amendments and GNU extensions. `-std=gnu++17`

- _Compiler Default:_ Tells the compiler to use its default C++ language dialect. This is normally the best choice unless you have specific needs. (Currently equivalent to GNU++98.)"
